User,Public,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,2484848,2122006,2115045,10219939,4366110,4366362,4844211,2655010,10723831,11064172,,,,,,,,,
,B,10238208,8287392,3386214,2283550,4863940,1496494,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,22824130,22011740,21140518,23292018,21869048,23017136,22688226,21671892,22095816,20855350,,,,,,,,,
,B,24386544,15318462,24063372,25155362,22471,30385,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (2 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day2,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/25/2025 23:51:59,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,5810277,4421110,4709424,30411272,12911833,12644855,14632711,7324185,31333728,31497114,,,,,,,,,
,B,31046722,21668692,9495672,4671484,12179443,2107497,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,73524520,67369472,75205272,58116068,68245664,66601704,69239144,69684320,56004920,52861784,,,,,,,,,
,B,51185608,40762916,73283592,69122472,50814,54350,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (3 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day3,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/26/2025 23:43:43,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,2905466,2304092,2317399,13042601,5975931,7070217,6078695,3105389,13792654,13944444,,,,,,,,,
,D,14558524,11288883,4579114,2243632,24788296,1562065,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,20452242,19185750,22226868,20658394,20964988,21680860,22864920,19984106,19110780,19730332,,,,,,,,,
,D,21395730,13899844,22090178,19355904,36038,38727,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (4 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day 4,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/27/2025 22:32:20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,6593564,5228156,5427733,25856818,14012775,15897420,11106172,7748716,26683016,27431372,,,,,,,,,
,D,29083706,19656516,10368720,4885610,49576624,2147546,,,,,,,,,,,,,
,E,3147312,2450677,2357754,14077258,6373970,5826895,7895124,3458298,14812085,16032917,,,,,,,,,
,F,16897740,11221183,5690382,2403833,22054134,1584857,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,58742040,58260280,67263824,35975568,54158900,53393812,42698644,59019044,37213752,35597932,,,,,,,,,
,D,41040668,22928026,58834824,51543172,63922,59303,,,,,,,,,,,,,
,E,17358100,16057137,19956674,17001054,16737815,17951368,18062980,16952510,16863190,17747034,,,,,,,,,
,F,17672598,10981773,24744400,16894938,20975,42825,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (5 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day5,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/28/2025 23:01:56,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,6842534,5252248,5548284,26831964,13939617,16353185,10949731,7691884,27927904,29902726,,,,,,,,,
,D,31720136,19874788,10471774,4931592,62103896,2151285,,,,,,,,,,,,,
,E,6336134,4628348,5255521,23637586,12871984,9693165,15385014,7250827,24791490,26736948,,,,,,,,,
,F,27565594,16734309,11382138,4818509,68021000,2168034,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,57212040,56596092,66431408,34662252,51876900,50321148,38834580,55662032,37983272,31498710,,,,,,,,,
,D,37979872,21184748,57332260,51144200,73067,66309,,,,,,,,,,,,,
,E,49240424,40405964,60740344,30077690,41233164,31935356,42556712,47207760,35042136,27301594,,,,,,,,,
,F,28280202,15245838,84807088,48732276,52449,66323,,,,,,,,,,,,,
,G,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (6 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day6,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/30/2025 00:03:22,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,3444202,2761652,2566983,14934737,7071335,6917482,9300320,3724838,14458794,17758244,,,,,,,,,
,H,17392798,12454621,5216540,2217111,70846096,1786519,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,12399387,10575535,13054329,15146689,12727161,16758933,13377688,9800575,16238714,16120689,,,,,,,,,
,H,16406153,10771662,13000052,10974692,41191,55888,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Plate  (7 of 7),,,,,,,,,,,,,,,,,,,,
Plate name,day7,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,
Microplate name,Costar blk/clrbtm,,,,,,,,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,,,,,,,,
Is lidded,FALSE,,,,,,,,,,,,,,,,,,,
Read Time,04/30/2025 23:35:13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,,,
Measurement mode,Fl,,,,,,,,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,,,,,,,,
Method,Mono / Mono,,,,,,,,,,,,,,,,,,,
Excitation/Emission,485 nm/525 nm,,,,,,,,,,,,,,,,,,,
,560 nm/670 nm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,,,,,,,,
Integration time,400,,,,,,,,,,,,,,,,,,,
PMT Sensitivity,Auto,,,,,,,,,,,,,,,,,,,
Bottom read,FALSE,,,,,,,,,,,,,,,,,,,
Read height,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,,,,,,,,
Shake,TRUE,,,,,,,,,,,,,,,,,,,
Duration,5,,,,,,,,,,,,,,,,,,,
Mode,Orbital,,,,,,,,,,,,,,,,,,,
Intensity,Medium,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),485 nm/525 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,5481856,4167944,3718359,20117358,10397797,8626724,13355545,5750136,19261010,23928856,,,,,,,,,
,H,24737880,16303491,7983517,3325504,100840448,2282362,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Wavelength(Ex/Em),560 nm/670 nm,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,A,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,
,G,29768984,23313904,25964790,22397652,22382974,24527602,23555532,17755350,24791160,22034852,,,,,,,,,
,H,24550926,14250019,25907530,21461460,57866,77015,,,,,,,,,,,,,
